iter	Passed	Remaining
485	658	695
486	660	695
487	662	694
488	663	693
489	666	693
490	668	693
491	670	692
492	672	691
493	674	690
494	676	689
495	677	688
496	679	687
497	681	687
498	684	686
499	685	685
500	688	685
501	689	684
502	691	683
503	693	682
504	695	681
505	697	681
506	699	680
507	701	679
508	703	678
509	705	677
510	707	676
511	708	675
512	710	674
513	713	674
514	715	673
515	717	672
516	719	672
517	721	671
518	723	670
519	725	669
520	727	668
521	729	668
522	731	667
523	733	666
524	735	665
525	737	664
526	738	662
527	739	661
528	741	659
529	742	658
530	743	656
531	745	655
532	746	654
533	747	652
534	748	650
535	749	649
536	751	647
537	752	645
538	753	644
539	754	643
540	756	641
541	758	640
542	760	639
543	762	638
544	763	637
545	765	636
546	767	635
547	768	634
548	770	633
549	772	632
550	774	631
551	776	629
552	778	628
553	779	627
554	781	626
555	783	625
556	784	624
557	786	623
558	788	622
559	790	620
560	792	619
561	793	618
562	795	617
563	796	616
564	798	614
565	800	613
566	801	612
567	803	611
568	805	610
569	807	608
570	808	607
571	810	606
572	812	605
573	813	603
574	815	602
575	816	601
576	818	600
577	820	598
578	822	597
579	823	596
580	825	595
581	827	594
582	829	592
583	830	591
584	832	590
585	834	589
586	836	588
587	837	587
588	839	585
589	841	584
590	843	583
591	844	582
592	846	580
593	848	579
594	849	578
595	851	577
596	853	575
597	855	574
598	856	573
599	858	572
600	860	571
601	861	569
602	863	568
603	865	567
604	867	566
605	869	565
606	871	563
607	872	562
608	874	561
609	876	560
610	878	559
611	880	558
612	882	557
613	884	556
614	886	554
615	888	553
616	890	552
617	891	551
618	893	550
619	895	549
620	897	547
621	899	546
622	901	545
623	903	544
624	905	543
625	907	542
626	909	541
627	911	539
628	913	538
629	914	537
630	916	536
631	918	534
632	920	533
633	921	532
634	924	531
635	925	529
636	927	528
637	929	527
638	930	525
639	932	524
640	934	523
641	935	521
642	937	520
643	939	519
644	941	518
645	943	517
646	945	515
647	946	514
648	948	512
649	950	511
650	951	510
651	953	509
652	955	507
653	957	506
654	959	505
655	960	503
656	962	502
657	964	501
658	966	500
659	968	498
660	970	497
661	972	496
662	974	495
663	975	493
664	977	492
665	979	491
666	981	489
667	982	488
668	984	487
669	986	485
670	987	484
671	989	483
672	991	481
673	993	480
674	994	478
675	996	477
676	998	476
677	1000	475
678	1002	473
679	1004	472
680	1005	471
681	1007	469
682	1009	468
683	1010	467
684	1012	465
685	1014	464
686	1016	462
687	1017	461
688	1019	460
689	1021	458
690	1022	457
691	1024	456
692	1026	454
693	1028	453
694	1029	451
695	1031	450
696	1033	449
697	1034	447
698	1036	446
699	1038	444
700	1039	443
701	1041	442
702	1043	440
703	1045	439
704	1047	438
705	1048	436
706	1050	435
707	1051	433
708	1053	432
709	1054	430
710	1055	429
711	1056	427
712	1057	425
713	1059	424
714	1060	422
715	1062	421
716	1063	419
717	1064	418
718	1065	416
719	1066	414
720	1068	413
721	1069	411
722	1070	410
723	1071	408
724	1073	407
725	1074	405
726	1075	404
727	1077	402
728	1078	400
729	1079	399
730	1081	397
731	1082	396
732	1083	394
733	1084	393
734	1086	391
735	1087	390
736	1088	388
737	1090	387
738	1091	385
739	1092	383
740	1094	382
741	1095	380
742	1096	379
743	1098	377
744	1100	376
745	1101	375
746	1102	373
747	1103	371
748	1105	370
749	1106	368
750	1107	367
751	1108	365
752	1110	364
753	1111	362
754	1112	361
755	1113	359
756	1115	357
757	1116	356
758	1117	354
759	1119	353
760	1120	351
761	1121	350
762	1123	348
763	1124	347
764	1125	345
765	1127	344
766	1128	342
767	1130	341
768	1131	339
769	1132	338
770	1133	336
771	1135	335
772	1136	333
773	1137	332
774	1138	330
775	1140	329
776	1141	327
777	1142	326
778	1144	324
779	1145	323
780	1147	321
781	1148	320
782	1149	318
783	1151	317
784	1152	315
785	1154	314
786	1155	312
787	1156	311
788	1157	309
789	1159	308
790	1160	306
791	1161	305
792	1163	303
793	1164	302
794	1166	300
795	1167	299
796	1169	297
797	1170	296
798	1172	294
799	1173	293
800	1174	291
801	1176	290
802	1177	288
803	1178	287
804	1180	285
805	1181	284
806	1183	282
807	1184	281
808	1185	279
809	1186	278
810	1187	276
811	1189	275
812	1190	273
813	1191	272
814	1193	270
815	1194	269
816	1196	267
817	1197	266
818	1199	264
819	1200	263
820	1201	261
821	1202	260
822	1203	258
823	1205	257
824	1206	255
825	1208	254
826	1209	253
827	1211	251
828	1212	250
829	1213	248
830	1214	247
831	1216	245
832	1217	244
833	1218	242
834	1219	241
835	1221	239
836	1222	238
837	1224	236
838	1225	235
839	1227	233
840	1228	232
841	1229	230
842	1230	229
843	1231	227
844	1233	226
845	1234	224
846	1235	223
847	1237	221
848	1238	220
849	1239	218
850	1241	217
851	1242	215
852	1243	214
853	1245	212
854	1246	211
855	1247	209
856	1249	208
857	1250	206
858	1251	205
859	1252	203
860	1254	202
861	1255	201
862	1257	199
863	1258	198
864	1259	196
865	1261	195
866	1262	193
867	1263	192
868	1264	190
869	1266	189
870	1267	187
871	1268	186
872	1270	184
873	1271	183
874	1273	181
875	1274	180
876	1275	178
877	1277	177
878	1278	175
879	1279	174
880	1281	173
881	1282	171
882	1284	170
883	1285	168
884	1286	167
885	1288	165
886	1289	164
887	1290	162
888	1291	161
889	1293	159
890	1294	158
891	1295	156
892	1296	155
893	1298	153
894	1299	152
895	1300	150
896	1302	149
897	1303	148
898	1304	146
899	1306	145
900	1307	143
901	1309	142
902	1310	140
903	1311	139
904	1312	137
905	1314	136
906	1315	134
907	1316	133
908	1318	131
909	1319	130
910	1320	129
911	1321	127
912	1323	126
913	1324	124
914	1326	123
915	1327	121
916	1328	120
917	1330	118
918	1331	117
919	1333	115
920	1334	114
921	1336	113
922	1337	111
923	1338	110
924	1340	108
925	1341	107
926	1342	105
927	1343	104
928	1345	102
929	1346	101
930	1347	99
931	1349	98
932	1350	96
933	1352	95
934	1353	94
935	1354	92
936	1356	91
937	1357	89
938	1358	88
939	1360	86
940	1361	85
941	1362	83
942	1364	82
943	1365	81
944	1366	79
945	1368	78
946	1369	76
947	1370	75
948	1371	73
949	1373	72
950	1374	70
951	1375	69
952	1377	67
953	1378	66
954	1379	65
955	1381	63
956	1382	62
957	1383	60
958	1385	59
959	1386	57
960	1387	56
961	1389	54
962	1390	53
963	1391	51
964	1392	50
965	1394	49
966	1396	47
967	1397	46
968	1398	44
969	1400	43
970	1401	41
971	1402	40
972	1403	38
973	1404	37
974	1406	36
975	1407	34
976	1409	33
977	1410	31
978	1412	30
979	1413	28
980	1414	27
981	1415	25
982	1417	24
983	1418	23
984	1419	21
985	1420	20
986	1422	18
987	1423	17
988	1425	15
989	1427	14
990	1429	12
991	1431	11
992	1433	10
993	1435	8
994	1437	7
995	1440	5
996	1442	4
997	1444	2
998	1446	1
999	1448	0
